ticker,name,city,isin,status
DMLKT,EMLAK KONUT DAMLA KENT GMS,İSTANBUL,TRNEGYO00018,STOCK
DMRGD,DMR UNLU MAMULLER ÜRETİM GIDA TOPTAN PERAKENDE İHRACAT A.Ş.,İSTANBUL,TREDMRU00026,STOCK
DMSAS,DEMİSAŞ DÖKÜM EMAYE MAMÜLLERİ SANAYİ A.Ş.,KOCAELİ,TRADMSAS91E9,STOCK
DNFIN,DENİZ FİNANSAL KİRALAMA A.Ş.,İSTANBUL,,NON_EQUITY
DNISI,DİNAMİK ISI MAKİNA YALITIM MALZEMELERİ SANAYİ VE TİCARET A.Ş.,İZMİR,TREDIMY00027,STOCK
DNYVA,DÜNYA VARLIK YÖNETİM A.Ş.,İSTANBUL,TREDVYS00019,STOCK
DNZEN,DENİZ EKO ENERJİ VE GERİ DÖNÜŞÜM A.Ş.,İSTANBUL,,UNRESOLVED
DOAS,DOĞUŞ OTOMOTİV SERVİS VE TİCARET A.Ş.,İSTANBUL,TREDOTO00013,STOCK
DOCO,DO & CO AKTIENGESELLSCHAFT,,AT0000818802,STOCK
DOFER,DOFER YAPI MALZEMELERİ SANAYİ VE TİCARET A.Ş.,ANKARA,TREDOFR00023,STOCK
DOFRB,DOF ROBOTİK SANAYİ A.Ş.,İSTANBUL,TREDFRB00020,STOCK
DOGUB,DOĞUSAN BORU SANAYİ VE TİCARET A.Ş.,ERZİNCAN,TRADOGUB92F9,STOCK
DOGVY,DOĞRU VARLIK YÖNETİM A.Ş.,İSTANBUL,,NON_EQUITY
DOHOL,DOĞAN ŞİRKETLER GRUBU HOLDİNG A.Ş.,İSTANBUL,TRADOHOL91Q8,STOCK
DOKTA,DÖKTAŞ DÖKÜMCÜLÜK TİCARET VE SANAYİ A.Ş.,BURSA,TRADOKTS91G7,STOCK
DRPHN,T.C. HAZİNE VE MALİYE BAKANLIĞI DARPHANE VE DAMGA MATBAASI GENEL MÜDÜRLÜĞÜ,İSTANBUL,,NON_EQUITY
DSTKF,DESTEK FİNANS FAKTORİNG A.Ş.,İSTANBUL,TREDSTF00012,STOCK
DSYAT,DESTEK YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL,,NON_EQUITY
DUNYH,DÜNYA HOLDİNG A.Ş.,İSTANBUL,TRASELGD91A6,STOCK
DURDO,DURAN DOĞAN BASIM VE AMBALAJ SANAYİ A.Ş.,İSTANBUL,TRADUROF91D4,STOCK
DURKN,DURUKAN ŞEKERLEME SANAYİ VE TİCARET A.Ş.,ANKARA,TREDRKN00025,STOCK
DVRLK,D VARLIK KİRALAMA A.Ş.,İSTANBUL,,NON_EQUITY
DYBNK,D YATIRIM BANKASI A.Ş.,İSTANBUL,,NON_EQUITY
DYOBY,DYO BOYA FABRİKALARI SANAYİ VE TİCARET A.Ş.,İZMİR,TRAYASAS91E0,STOCK
DZGYO,DENİZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,TRADMRYO91Q4,STOCK
EBEBK,EBEBEK MAĞAZACILIK A.Ş.,İSTANBUL,TREEBEB00025,STOCK
ECILC,EİS ECZACIBAŞI İLAÇ SINAİ VE FİNANSAL YATIRIMLAR SANAYİ VE TİCARET A.Ş.,İSTANBUL,TRAECILC91E0,STOCK
ECOGR,ECOGREEN ENERJİ HOLDİNG A.Ş.,DENİZLİ,TREECGR00024,STOCK
ECZIP,EİP ECZACIBAŞI İLAÇ PAZARLAMA A.Ş.,İSTANBUL,,UNRESOLVED
ECZYT,ECZACIBAŞI YATIRIM HOLDİNG ORTAKLIĞI A.Ş.,İSTANBUL,TRAECZYT91Q5,STOCK
EDATA,E-DATA TEKNOLOJİ PAZARLAMA A.Ş.,ANKARA,TREEDTA00021,STOCK
EDIP,EDİP GAYRİMENKUL YATIRIM SANAYİ VE TİCARET A.Ş.,İSTANBUL,TRAEDIPW91B3,STOCK
EFOR,EFOR YATIRIM SANAYİ TİCARET A.Ş.,İSTANBUL,TREEFOR00013,STOCK
EGEEN,EGE ENDÜSTRİ VE TİCARET A.Ş.,İZMİR,TRAEGEEN91H5,STOCK
EGEGY,EGEYAPI AVRUPA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,TREEGEY00018,STOCK
EGEPO,NASMED ÖZEL SAĞLIK HİZMETLERİ TİCARET A.Ş.,İZMİR,TRENSMD00029,STOCK
EGGUB,EGE GÜBRE SANAYİİ A.Ş.,İZMİR,TRAEGGUB91E8,STOCK
EGPRO,EGE PROFİL TİCARET VE SANAYİ A.Ş.,İZMİR,TRAEGPRO91E8,STOCK
EGSER,EGE SERAMİK SANAYİ VE TİCARET A.Ş.,İZMİR,TRAEGSER91F0,STOCK
